Content,Date,cleaned,vader_compound,label_3class,label_str,token_count_cleaned,lemma_count,lemmas_str
"Spotify is very good, got many songs and suggests new ones but I've to say the app was way good before than now. Because there are lot of ads showing up. Pls don't ask us to try premium. No I don't want to. Please try to reduce the ads it would be okay if we get 2 to 3 ads in between after listening to 5 or 6 songs. It says""watch this 30 sec ad to listen to songs for 30 mins ad free"" but what we get is five 30 sec ads continuously and after listening to 2 songs we again get ads. It's irritating.",2023-01-07,"spotify is very good, got many songs and suggests new ones but i have to say the app was way good before than now. because there are lot of ads showing up. pls do not ask us to try premium. no i do not want to. please try to reduce the ads it would be okay if we get 2 to 3 ads in between after listening to 5 or 6 songs. it says""watch this 30 sec ad to listen to songs for 30 mins ad free"" but what we get is five 30 sec ads continuously and after listening to 2 songs we again get ads. it is irritating.",0.6199,2,Positive,110,42,"good | get | many | song | suggest | new | one | have | say | good | be | lot | ad | show | not | ask | try | no | not | want | try | reduce | ad | okay | get | ad | listen | song | says""watch | ad | listen | song | min | ad | free | get | ad | listen | song | get | ad | irritate"
"Worst update ever!!! Now, you can't even forward or backward lyrics/part in a song. WITHOUT PREMIUM. You cannot play your own playlist in order. WITHOUT PREMIUM. And what not. Now there are many things which can't be done with out premium. First users had to listen to ads in between now you can't even change to PREVIOUS SONG WITHOUT PREMIUM!! Like seriously!? Why don't the owner just make this whole app to be bought!! I'll appreciate if it's back to normal. -happy user who's now sad thank you",2023-01-07,"worst update ever!!! now, you cannot even forward or backward lyrics/part in a song. without premium. you cannot play your own playlist in order. without premium. and what not. now there are many things which cannot be done with out premium. first users had to listen to ads in between now you cannot even change to previous song without premium!! like seriously!? why do not the owner just make this whole app to be bought!! i will appreciate if it is back to normal. -happy user who is now sad thank you",-0.5594,0,Negative,92,35,bad | update | not | forward | backward | lyric | part | not | play | own | order | not | be | many | thing | not | do | user | have | listen | ad | not | change | previous | not | owner | make | whole | buy | appreciate | normal | -happy | user | sad | thank
"Intolerable it is, as they are now demanding remuneration for the recurring auditions of melodies. Presently, the facility to consecutively relish tunes from one's compilation has been withheld, and even the liberty to evade segments of a melody has been curtailed. Moreover, the sonic caliber of the melodies is dreadfully substandard, If one must expend a substantial sum for access to a scant selection of tunes, it would be prudent to consider transitioning to an alternative.",2023-01-08,"intolerable it is, as they are now demanding remuneration for the recurring auditions of melodies. presently, the facility to consecutively relish tunes from one's compilation has been withheld, and even the liberty to evade segments of a melody has been curtailed. moreover, the sonic caliber of the melodies is dreadfully substandard, if one must expend a substantial sum for access to a scant selection of tunes, it would be prudent to consider transitioning to an alternative.",-0.1027,0,Negative,76,31,intolerable | demand | remuneration | recur | audition | melody | facility | relish | tune | compilation | withhold | liberty | evade | segment | melody | curtail | sonic | caliber | melody | substandard | expend | substantial | sum | access | scant | selection | tune | prudent | consider | transition | alternative
"This app is totally focused on selling premium plans and not providing services , ads and ads and ads 👏🏻 , these things aside , now they are charging for bare minimum features like to play music in the playlist sequence wise or to suffle them ( although these features don't cost them nothing still to manipulate us to buy premium plans they are doing this) 🤦 heights of greed",2023-01-07,"this app is totally focused on selling premium plans and not providing services , ads and ads and ads 👏🏻 , these things aside , now they are charging for bare minimum features like to play music in the playlist sequence wise or to suffle them ( although these features do not cost them nothing still to manipulate us to buy premium plans they are doing this) 🤦 heights of greed",0.8016,2,Positive,71,30,focused | sell | plan | not | provide | service | ad | ad | ad | 👏 | 🏻 | thing | charge | bare | minimum | feature | play | music | sequence | wise | suffle | feature | not | cost | nothing | manipulate | plan | do | height | greed
Please remove premium from Spotify it was the best music app but after a recent update its showing buy premium why we have to buy premium just for read the lyrics please remove this premium whenever i want to move back the song it's keep saying explore premium please fix this problem this app is useless I can't choose the song what I want to,2023-01-06,please remove premium from spotify it was the best music app but after a recent update its showing buy premium why we have to buy premium just for read the lyrics please remove this premium whenever i want to move back the song it is keep saying explore premium please fix this problem this app is useless i cannot choose the song what i want to,0.4215,2,Positive,66,23,remove | good | music | recent | update | showing | have | buy | read | lyric | remove | want | move | keep | say | explore | fix | problem | app | useless | not | choose | want
"The app is becoming worse and worse everyday, every basic feature is becoming premium. Even the backskip button is now a premium feature, you can't get back to a music if it gets skipped. Uninstalling Spotify. Even after so many users giving bad rating they still keep asking for money. Just money seeking creeps. Disappointed and Angry..",2023-01-06,"the app is becoming worse and worse everyday, every basic feature is becoming premium. even the backskip button is now a premium feature, you cannot get back to a music if it gets skipped. uninstalling spotify. even after so many users giving bad rating they still keep asking for money. just money seeking creeps. disappointed and angry..",-0.8789,0,Negative,57,25,become | bad | everyday | basic | feature | become | backskip | button | feature | not | get | music | skip | many | user | give | bad | rating | keep | ask | money | money | seek | creep | disappointed
I brought 3 month premium 1 months back but now I am Unable to log in due to some app glitch.generally such problems should be solve in 1 to 2 days but this Spotify team is not even looking in this matter. Spotify should be Thankful to Google Play store because it doesn't have negative rating otherwise Spotify could have negative rating,2023-01-07,i brought 3 month premium 1 months back but now i am unable to log in due to some app glitch.generally such problems should be solve in 1 to 2 days but this spotify team is not even looking in this matter. spotify should be thankful to google play store because it does not have negative rating otherwise spotify could have negative rating,0.9431,2,Positive,63,23,bring | month | month | unable | log | due | such | problem | solve | day | team | not | look | matter | thankful | store | not | have | negative | rating | have | negative | rating
"New update is horrible , why switch tapping back to premium , and play in order , people will be exhausted by it , they will not bry premium , instead they will delete the spotify app only and switch to other apps , bring back the old updates or it is very difficult to listen songs like this and even feels disturbing to daily listeners",2023-01-05,"new update is horrible , why switch tapping back to premium , and play in order , people will be exhausted by it , they will not bry premium , instead they will delete the spotify app only and switch to other apps , bring back the old updates or it is very difficult to listen songs like this and even feels disturbing to daily listeners",-0.8016,0,Negative,66,24,new | update | horrible | switch | tap | play | order | people | exhaust | not | bry | delete | switch | other | app | bring | old | update | difficult | listen | song | feel | disturbing | listener
I really HATE the new update. Why would they remove the basic features such as shuffle and playing songs in order. They increased the amount of ads as well. Having more ads playing and removing basic features won't make people buy premium. It will only make people switch to another app. Absolutely disappointed!,2023-01-07,i really hate the new update. why would they remove the basic features such as shuffle and playing songs in order. they increased the amount of ads as well. having more ads playing and removing basic features will not make people buy premium. it will only make people switch to another app. absolutely disappointed!,-0.4363,0,Negative,54,27,hate | update | remove | basic | feature | such | shuffle | play | song | order | increase | amount | ad | have | More | ad | play | remove | basic | feature | not | make | people | make | people | switch | disappointed
Used to love this app. All the features were amazing and I didn't even mind listening to the ads but the recent update has left me disappointed. Even the basic features are not available now. I hope they undo this update else I would have no other option but to look for alternatives.,2023-01-08,used to love this app. all the features were amazing and i did not even mind listening to the ads but the recent update has left me disappointed. even the basic features are not available now. i hope they undo this update else i would have no other option but to look for alternatives.,-0.7235,0,Negative,54,25,use | love | feature | amazing | not | mind | listen | ad | recent | update | leave | disappointed | basic | feature | not | available | hope | undo | update | have | no | other | option | look | alternative
"this app Was perfect before and now because of this update tht removed basic features has become f#$ked up everyone hates this now remove the update, guys u can make money in a different way ,not by removing basic features! Ya'all will realise ur mistake soon",2023-01-05,"this app was perfect before and now because of this update tht removed basic features has become f#$ked up everyone hates this now remove the update, guys you can make money in a different way ,not by removing basic features! ya'all will realise you are mistake soon",-0.2244,0,Negative,47,21,perfect | update | tht | remove | basic | feature | f#$ke | hat | remove | update | guy | make | money | different | way | not | remove | basic | feature | realise | mistake
"The app was really good. But recently pushing lyrics behind a wall, no shuffling etc is affecting experience. Why all this is part of Premium? Also can't decide my own song sequence ? Is it an app from George Orwell's 1984? Wish, I could give it 0 star.",2023-01-04,"the app was really good. but recently pushing lyrics behind a wall, no shuffling etc is affecting experience. why all this is part of premium? also cannot decide my own song sequence ? is it an app from george orwell's 1984? wish, i could give it 0 star.",0.5246,2,Positive,48,15,good | push | lyric | wall | no | shuffling | affect | experience | part | not | decide | own | sequence | give | star
This WAS the best music app now even listening to a song of our time stamp requires premium so annoying 😔😔😔 didn't expected this from Spotify very disappointing I hope one day their development team watches this review and give us our Spotify back 🙂,2023-01-07,this was the best music app now even listening to a song of our time stamp requires premium so annoying 😔😔😔 did not expected this from spotify very disappointing i hope one day their development team watches this review and give us our spotify back 🙂,0.1012,1,Neutral,46,18,good | music | listen | time | stamp | require | annoying | not | expect | disappointing | hope | day | development | team | watch | review | give | 🙂
"Spotify showing their cheap tactics to get money. The recent update removes the basic functionalities like going back to previous song,skipping specific parts of the song etc. All requires premium subscription. At this point JUST DELETE THE APP!!",2023-01-06,"spotify showing their cheap tactics to get money. the recent update removes the basic functionalities like going back to previous song,skipping specific parts of the song etc. all requires premium subscription. at this point just delete the app!!",0.4738,2,Positive,38,18,show | cheap | tactic | get | money | recent | update | remove | basic | functionality | go | skip | specific | part | require | subscription | point | DELETE
After the new update everything is because wrost you can't even play a song specific part it's become useless if they can't fix this there is no other option then to leave this app and switch to another app if they don't fix this piece of shït,2023-01-07,after the new update everything is because wrost you cannot even play a song specific part it is become useless if they cannot fix this there is no other option then to leave this app and switch to another app if they do not fix this piece of shït,-0.738,0,Negative,49,20,update | wrost | not | play | specific | part | become | useless | not | fix | be | no | other | option | leave | switch | not | fix | piece | shït
"This app is turning from my fav to the worst music streaming app, it's literally forcing you to buy the premium version it's too bad, and it's not doing on all accounts at once but only some at a time, time to change my music app",2023-01-08,"this app is turning from my fav to the worst music streaming app, it is literally forcing you to buy the premium version it is too bad, and it is not doing on all accounts at once but only some at a time, time to change my music app",-0.4215,0,Negative,49,14,app | turn | fav | bad | stream | force | buy | version | not | do | account | time | time | change
What are you guys trying to do? You guys removing basic features as I am writing this review they have removed the previous song button now I need to buy premium for basic things. You guys are so desperate to sell premium.,2023-01-07,what are you guys trying to do? you guys removing basic features as i am writing this review they have removed the previous song button now i need to buy premium for basic things. you guys are so desperate to sell premium.,-0.4572,0,Negative,42,18,guy | try | do | guy | remove | basic | feature | write | review | remove | button | need | buy | basic | thing | guy | desperate | sell
Everyone's been saying the same thing. We've been using Spotify for years and suddenly we require a premium version for using all basic things. To say that I'm disappointed is an understatement.,2023-01-07,everyone is been saying the same thing. we have been using spotify for years and suddenly we require a premium version for using all basic things. to say that i am disappointed is an understatement.,-0.4767,0,Negative,35,12,say | same | thing | use | require | version | use | basic | thing | say | disappointed | understatement
"This was a best music app but dont know why did they changed all the basic things to premium, if this was there thing then i would recomend this app is total waste of listing to songs .",2023-01-05,"this was a best music app but do not know why did they changed all the basic things to premium, if this was there thing then i would recomend this app is total waste of listing to songs .",-0.2732,0,Negative,39,14,good | music | not | know | change | basic | thing | thing | recomend | app | total | waste | list | song
This was the best music app ever but now it's become worst need premium for all the features I had been using since last 4 years but now I am going to uninstall,2023-01-07,this was the best music app ever but now it is become worst need premium for all the features i had been using since last 4 years but now i am going to uninstall,-0.6187,0,Negative,34,10,good | become | bad | need | feature | use | last | year | go | uninstall
"It was one of my favourite app. But now they made changes to take premium version, and it is worst thing they did ever. I will never use this app from now on.",2023-01-07,"it was one of my favourite app. but now they made changes to take premium version, and it is worst thing they did ever. i will never use this app from now on.",-0.7684,0,Negative,33,10,favourite | make | change | take | version | bad | thing | do | never | use
I will suggest that don't download this trash 😤 as it many ads and for choosing a song from our own Playlist they will say you have to get the premium,2023-01-04,i will suggest that do not download this trash 😤 as it many ads and for choosing a song from our own playlist they will say you have to get the premium,0.0,1,Neutral,32,14,suggest | not | download | trash | 😤 | many | ad | choose | own | playlist | say | have | get | premium
Spotify think he is only one music app for Indians that's why he change his T&C for free user's.......Buddy I am going to uninstall you now Bye Bye.,2023-01-07,spotify think he is only one music app for indians that is why he change his t&c for free user's.......buddy i am going to uninstall you now bye bye.,0.5106,2,Positive,29,7,think | change | free | user' | buddy | go | uninstall
"I love choosing my bands, learning if new music I didn't know my faves made, reading more about them, and testing Spotify's mixes for me.",2023-01-05,"i love choosing my bands, learning if new music i did not know my faves made, reading more about them, and testing spotify's mixes for me.",0.6369,2,Positive,26,12,love | choose | band | learn | not | know | fave | make | read | More | test | mix
More focused for subscription. Too much adds And they started subscription for surfing in specific part of song Worst app for free users,2023-01-05,more focused for subscription. too much adds and they started subscription for surfing in specific part of song worst app for free users,0.2716,1,Neutral,23,11,focused | subscription | add | start | subscription | surf | specific | part | bad | free | user
"Please stop giving us worst update We can't even listen our song, one by one according to playlist instead we listen other shity songs",2023-01-07,"please stop giving us worst update we cannot even listen our song, one by one according to playlist instead we listen other shity songs",-0.3818,0,Negative,24,11,stop | give | bad | update | not | listen | accord | listen | other | shity | song
The recent update is pathetic. They are asking to upgrade to premium for even the most basic features which a music app should have.,2023-01-07,the recent update is pathetic. they are asking to upgrade to premium for even the most basic features which a music app should have.,-0.5719,0,Negative,24,8,recent | update | pathetic | ask | upgrade | basic | feature | have
You are destroying your app with each and every change I think one day we would love to listen through YouTube more than your app,2023-01-05,you are destroying your app with each and every change i think one day we would love to listen through youtube more than your app,0.1531,1,Neutral,25,7,destroy | change | think | day | love | listen | More
Worst update ever .Better to not install for new users and good choice to delete the app for users who have already installed 👍,2023-01-05,worst update ever .better to not install for new users and good choice to delete the app for users who have already installed 👍,0.1779,1,Neutral,24,11,bad | update | not | install | new | user | good | choice | delete | user | instal
How greedy do you have to be to turn off the song lyrics unless one pays for premium? absolutely utterly disgusting behaviour.,2023-01-05,how greedy do you have to be to turn off the song lyrics unless one pays for premium? absolutely utterly disgusting behaviour.,-0.7408,0,Negative,22,6,have | turn | lyric | pay | disgusting | behaviour
"Wth, Spotify is no longer is useful. I just hate it at this point. Bring it back to normal. Stop being greedy for PRIMIUM",2023-01-05,"wth, spotify is no longer is useful. i just hate it at this point. bring it back to normal. stop being greedy for primium",-0.872,0,Negative,24,8,no | useful | point | bring | normal | stop | greedy | primium
